district_name,services_count,has_metro,district_name_en
أحد,3,False,District (أحد)
أم الحمام الشرقي,3,False,District (أم الحمام الشرقي)
أم الحمام الغربي,13,False,District (أم الحمام الغربي)
أم سليم,7,False,District (أم سليم)
إشبيلية,13,False,District (إشبيلية)
الأندلس,13,False,District (الأندلس)
الإزدهار,27,False,District (الإزدهار)
الإسكان,1,False,District (الإسكان)
البديعة,11,False,District (البديعة)
البرية,2,False,District (البرية)
البطيحا,1,False,District (البطيحا)
البيان,6,False,District (البيان)
التعاون,28,False,District (التعاون)
الجرادية,1,False,District (الجرادية)
الجزيرة,7,False,District (الجزيرة)
الجنادرية,18,False,District (الجنادرية)
الحائر,5,False,District (الحائر)
الحزم,20,False,District (الحزم)
الحمراء,15,False,District (الحمراء)
الخالدية,9,False,District (الخالدية)
الخليج,30,False,Al Khaleej
الدار البيضاء,32,False,District (الدار البيضاء)
الدريهمية,3,False,District (الدريهمية)
الدفاع,1,False,District (الدفاع)
الديرة,4,False,District (الديرة)
الرائد,6,False,District (الرائد)
الربوة,21,False,District (الربوة)
الربيع,45,False,District (الربيع)
الرحمانية,2,False,District (الرحمانية)
الرفيعة,4,False,District (الرفيعة)
الرمال,39,False,District (الرمال)
الروابي,18,False,District (الروابي)
الروضة,20,True,Al Rawdah
الريان,10,False,District (الريان)
الزهراء,7,False,District (الزهراء)
الزهرة,12,False,District (الزهرة)
السعادة,21,False,District (السعادة)
السفارات,3,False,District (السفارات)
السلام,15,False,District (السلام)
السلي,23,False,District (السلي)
السليمانية,44,True,Al Sulaimaniyah
السويدي,22,False,District (السويدي)
السويدي الغربي,13,False,District (السويدي الغربي)
الشرفية,3,False,District (الشرفية)
الشفا,24,False,District (الشفا)
الشميسي,7,False,District (الشميسي)
الشهداء,12,False,District (الشهداء)
الصالحية,2,False,District (الصالحية)
الصحافة,74,True,Al Sahafa
الصفا,3,False,District (الصفا)
الصناعية,7,False,District (الصناعية)
الضباط,33,False,District (الضباط)
العارض,38,False,Al Arid
العاصمه - الدرعية,2,False,District (العاصمه - الدرعية)
العريجاء,1,False,District (العريجاء)
العريجاء الأوسط,23,False,District (العريجاء الأوسط)
العريجاء الغربي,33,False,District (العريجاء الغربي)
العزيزية,50,True,Al Aziziyah
العقيق,77,True,Al Aqiq
العلا,1,False,District (العلا)
العليا,72,True,Al Olaya
العماجية,1,False,District (العماجية)
العمل,18,False,District (العمل)
العوالي,20,False,District (العوالي)
العود,6,False,District (العود)
الغدير,25,True,District (الغدير)
الغنامية,3,False,District (الغنامية)
الفاخرية,2,False,District (الفاخرية)
الفاروق,17,False,District (الفاروق)
الفرسان,1,False,District (الفرسان)
الفلاح,34,False,District (الفلاح)
الفوطة,6,False,District (الفوطة)
الفيحاء,13,False,District (الفيحاء)
الفيصلية,7,False,District (الفيصلية)
الفيصلية - الدرعية,2,False,District (الفيصلية - الدرعية)
القادسية,9,False,District (القادسية)
القدس,12,False,District (القدس)
القيروان,26,False,District (القيروان)
المؤتمرات,4,False,District (المؤتمرات)
المحمدية,4,False,District (المحمدية)
المدينة الصناعية الجديدة,7,False,District (المدينة الصناعية الجديدة)
المربع,18,True,District (المربع)
المرسلات,13,False,District (المرسلات)
المرقب,3,False,District (المرقب)
المروة,15,False,District (المروة)
المروج,44,False,Al Muruj
المشاعل,4,False,District (المشاعل)
المشرق,2,False,District (المشرق)
المصانع,14,False,District (المصانع)
المصفاة,5,False,District (المصفاة)
المصيف,26,False,District (المصيف)
المعذر,3,False,District (المعذر)
المعذر الشمالي,7,False,District (المعذر الشمالي)
المعيزيلة,3,False,District (المعيزيلة)
المغرزات,35,False,District (المغرزات)
الملز,68,True,Al Malaz
الملقا,78,True,Al Malqa
الملك عبدالعزيز,14,False,District (الملك عبدالعزيز)
الملك عبدالله,4,False,District (الملك عبدالله)
الملك فهد,16,False,District (الملك فهد)
الملك فيصل,15,False,District (الملك فيصل)
المناخ,5,False,District (المناخ)
المنار,10,False,District (المنار)
المنصورة (خنشليلة),16,False,District (المنصورة (خنشليلة))
المهدية,2,False,District (المهدية)
المونسية,31,False,Al Munsiyah
الناصرية,3,False,District (الناصرية)
النخيل,8,False,District (النخيل)
الندوة,11,False,District (الندوة)
الندى,20,False,District (الندى)
النرجس,49,True,Al Narjis
النزهة,33,False,District (النزهة)
النسيم الشرقي,38,False,District (النسيم الشرقي)
النسيم الغربي,51,True,West Naseem
النظيم,22,False,District (النظيم)
النفل,49,False,District (النفل)
النموذجية,3,False,District (النموذجية)
النهضة,30,False,District (النهضة)
النور,8,False,District (النور)
الهدا,4,False,District (الهدا)
الواحة,5,False,District (الواحة)
الوادي,34,False,District (الوادي)
الورود,18,True,District (الورود)
الوزارات,18,False,District (الوزارات)
الوسيطا,1,False,District (الوسيطا)
الوشام,2,False,District (الوشام)
الياسمين,54,True,Al Yasmin
اليرموك,32,False,Al Yarmuk
اليمامة,3,False,District (اليمامة)
بدر,46,False,District (بدر)
بنبان,4,False,District (بنبان)
ثليم,3,False,District (ثليم)
جامعة الملك سعود,3,False,District (جامعة الملك سعود)
جبرة,4,False,District (جبرة)
جرير,10,False,District (جرير)
حطين,36,True,District (حطين)
خشم العان,2,False,District (خشم العان)
ديراب,8,False,District (ديراب)
سكيرينة,1,False,District (سكيرينة)
سلطانة,7,False,District (سلطانة)
شبرا,19,False,District (شبرا)
صلاح الدين,12,False,District (صلاح الدين)
صياح,1,False,District (صياح)
ضاحية نمار,6,False,District (ضاحية نمار)
طويق,84,True,Tuwaiq
طيبة,2,False,District (طيبة)
ظهرة البديعة,15,False,District (ظهرة البديعة)
ظهرة العودة شرق - الدرعية,3,False,District (ظهرة العودة شرق - الدرعية)
ظهرة لبن,61,False,Dhahrat Laban
ظهره العودة غرب - الدرعية,1,False,District (ظهره العودة غرب - الدرعية)
عتيقة,11,False,District (عتيقة)
عرقة,6,False,District (عرقة)
عكاظ,9,False,District (عكاظ)
عليشة,5,False,District (عليشة)
غبيرا,8,False,District (غبيرا)
غرناطة,7,False,District (غرناطة)
قرطبة,18,False,Qurtubah
لبن,5,False,District (لبن)
مطار الملك خالد الدولي,5,False,District (مطار الملك خالد الدولي)
معكال,1,False,District (معكال)
منفوحة,8,False,District (منفوحة)
منفوحة الجديدة,4,False,District (منفوحة الجديدة)
نمار,11,False,District (نمار)
هيت,1,False,District (هيت)
